frame,person_id,joint_index,x,y,z,visibility
0,0,0,0.7311167120933533,0.27653294801712036,-0.11912950128316879,0.9986039996147156
0,0,1,0.7414910197257996,0.2400173544883728,-0.135925754904747,0.9989952445030212
0,0,2,0.74625164270401,0.23639756441116333,-0.13588294386863708,0.9989665746688843
0,0,3,0.7513853907585144,0.23258823156356812,-0.1358996480703354,0.9991055130958557
0,0,4,0.7355326414108276,0.24669921398162842,-0.08578740060329437,0.9986346364021301
0,0,5,0.7357857823371887,0.2473136931657791,-0.08576058596372604,0.9982784986495972
0,0,6,0.736068606376648,0.2476290911436081,-0.0857531949877739,0.9986159801483154
0,0,7,0.7869256734848022,0.234369695186615,-0.15794162452220917,0.998715877532959
0,0,8,0.7571967244148254,0.2558324337005615,0.07804302126169205,0.9983401298522949
0,0,9,0.7461404204368591,0.29974883794784546,-0.12325828522443771,0.998340368270874
0,0,10,0.7389571666717529,0.3070254921913147,-0.05550557002425194,0.9976080656051636
0,0,11,0.847016453742981,0.3922804594039917,-0.2498551309108734,0.9964882135391235
0,0,12,0.7574899792671204,0.422738254070282,0.17748397588729858,0.9937198162078857
0,0,13,0.7311596274375916,0.4134061932563782,-0.4411318898200989,0.9777101278305054
0,0,14,0.6473323702812195,0.44347092509269714,0.2152843326330185,0.61106938123703
0,0,15,0.5750800371170044,0.38533908128738403,-0.454057902097702,0.9473540782928467
0,0,16,0.5407390594482422,0.3872916102409363,0.042791225016117096,0.7375234365463257
0,0,17,0.5357143878936768,0.37150055170059204,-0.5018452405929565,0.9046971201896667
0,0,18,0.5082383155822754,0.3748285174369812,0.011652262881398201,0.7022467255592346
0,0,19,0.5287801027297974,0.3613390326499939,-0.4824773967266083,0.9035129547119141
0,0,20,0.511436939239502,0.3678869605064392,-0.010111388750374317,0.7202348709106445
0,0,21,0.5413093566894531,0.36596882343292236,-0.44547250866889954,0.8864192962646484
0,0,22,0.526494026184082,0.37351930141448975,0.023654581978917122,0.7116596698760986
0,0,23,0.8245714902877808,0.9241135120391846,-0.11029478162527084,0.816195011138916
0,0,24,0.7655937075614929,0.9083830118179321,0.11185227334499359,0.7424052953720093
0,0,25,0.8116161227226257,0.9566580057144165,-0.29393163323402405,0.2219161093235016
0,0,26,0.7491734027862549,0.8973277807235718,0.078940249979496,0.10409822314977646
0,0,27,0.8062452673912048,1.0403780937194824,-0.026796821504831314,0.08024386316537857
0,0,28,0.7626581192016602,1.0023925304412842,0.3309841454029083,0.03860058635473251
0,0,29,0.8199023604393005,1.0564912557601929,0.005046029109507799,0.07831080257892609
0,0,30,0.7746909260749817,1.0262778997421265,0.3556270897388458,0.04825233668088913
0,0,31,0.7609292268753052,1.0668412446975708,-0.052646707743406296,0.09641396254301071
0,0,32,0.7365802526473999,1.0308430194854736,0.32314053177833557,0.059688638895750046
1,0,0,0.7316127419471741,0.27237677574157715,-0.14924484491348267,0.9984389543533325
1,0,1,0.7421318888664246,0.23843778669834137,-0.16757622361183167,0.9989410042762756
1,0,2,0.7470757961273193,0.23479539155960083,-0.1675829291343689,0.998909056186676
1,0,3,0.7524502873420715,0.23127685487270355,-0.16767877340316772,0.9990636110305786
1,0,4,0.7359885573387146,0.24396641552448273,-0.11315318197011948,0.9985252618789673
1,0,5,0.7362930774688721,0.2445967197418213,-0.1131078228354454,0.9981003403663635
1,0,6,0.7366783618927002,0.2447938472032547,-0.11312428116798401,0.9984840154647827
1,0,7,0.787175178527832,0.23414526879787445,-0.18150289356708527,0.9986650347709656
